,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept
51,go_workplace,0,2020-03-16 08:20:00+00:00,go_workplace,0,complete,51,process_case
52,work,0,2020-03-16 08:20:00+00:00,work,0,start,52,process_case
53,noise 20,0,2020-03-16 08:20:00+00:00,noise 20,0,complete,53,process_case
54,work,0,2020-03-16 18:21:00+00:00,work,0,complete,54,process_case
55,go_shoe_shelf,0,2020-03-16 18:21:00+00:00,go_shoe_shelf,0,complete,55,process_case
56,dress_down_outdoor,0,2020-03-16 18:21:00+00:00,dress_down_outdoor,0,start,56,process_case
57,noise 20,0,2020-03-16 18:21:00+00:00,noise 20,0,complete,57,process_case
58,dress_down_outdoor,0,2020-03-16 18:27:00+00:00,dress_down_outdoor,0,complete,58,process_case
59,go_wardrobe,0,2020-03-16 18:27:00+00:00,go_wardrobe,0,complete,59,process_case
60,change_clothes,0,2020-03-16 18:27:00+00:00,change_clothes,0,start,60,process_case
61,noise 20,0,2020-03-16 18:27:00+00:00,noise 20,0,complete,61,process_case
62,change_clothes,0,2020-03-16 18:31:00+00:00,change_clothes,0,complete,62,process_case
63,finish_walk,0,2020-03-16 18:31:00+00:00,finish_walk,0,start,63,process_case
64,noise 10,0,2020-03-16 18:31:00+00:00,noise 10,0,complete,64,process_case
65,finish_walk,0,2020-03-16 18:31:00+00:00,finish_walk,0,complete,65,process_case
66,go_kitchen_shelf,0,2020-03-16 18:31:00+00:00,go_kitchen_shelf,0,complete,66,process_case
67,go_kitchen_shelf,0,2020-03-16 18:32:00+00:00,go_kitchen_shelf,0,complete,67,process_case
68,get_glass,0,2020-03-16 18:32:00+00:00,get_glass,0,start,68,process_case
69,noise 20,0,2020-03-16 18:32:00+00:00,noise 20,0,complete,69,process_case
70,get_glass,0,2020-03-16 18:32:00+00:00,get_glass,0,complete,70,process_case
71,go_kitchen_sink,0,2020-03-16 18:32:00+00:00,go_kitchen_sink,0,complete,71,process_case
72,get_water,0,2020-03-16 18:32:00+00:00,get_water,0,start,72,process_case
73,noise 20,0,2020-03-16 18:32:00+00:00,noise 20,0,complete,73,process_case
74,get_water,0,2020-03-16 18:32:00+00:00,get_water,0,complete,74,process_case
75,drink_water,0,2020-03-16 18:32:00+00:00,drink_water,0,start,75,process_case
76,noise 10,0,2020-03-16 18:32:00+00:00,noise 10,0,complete,76,process_case
77,drink_water,0,2020-03-16 18:43:00+00:00,drink_water,0,complete,77,process_case
78,go_computer,0,2020-03-16 18:43:00+00:00,go_computer,0,complete,78,process_case
79,switch_computer_on,0,2020-03-16 18:43:00+00:00,switch_computer_on,0,start,79,process_case
80,noise 20,0,2020-03-16 18:43:00+00:00,noise 20,0,complete,80,process_case
81,switch_computer_on,0,2020-03-16 18:43:00+00:00,switch_computer_on,0,complete,81,process_case
82,go_computer_chair,0,2020-03-16 18:43:00+00:00,go_computer_chair,0,complete,82,process_case
83,use_the_computer,0,2020-03-16 18:43:00+00:00,use_the_computer,0,start,83,process_case
84,noise 5,0,2020-03-16 18:43:00+00:00,noise 5,0,complete,84,process_case
85,use_the_computer,0,2020-03-16 20:35:00+00:00,use_the_computer,0,complete,85,process_case
86,go_computer,0,2020-03-16 20:35:00+00:00,go_computer,0,complete,86,process_case
87,switch_computer_off,0,2020-03-16 20:35:00+00:00,switch_computer_off,0,start,87,process_case
88,noise 20,0,2020-03-16 20:35:00+00:00,noise 20,0,complete,88,process_case
89,switch_computer_off,0,2020-03-16 20:35:00+00:00,switch_computer_off,0,complete,89,process_case
90,go_entrace,0,2020-03-16 20:35:00+00:00,go_entrace,0,complete,90,process_case
91,go_entrace,0,2020-03-16 20:36:00+00:00,go_entrace,0,complete,91,process_case
92,interact_with_man,0,2020-03-16 20:36:00+00:00,interact_with_man,0,start,92,process_case
93,noise 20,0,2020-03-16 20:36:00+00:00,noise 20,0,complete,93,process_case
94,interact_with_man,0,2020-03-16 20:39:00+00:00,interact_with_man,0,complete,94,process_case
95,go_bathroom_sink,0,2020-03-16 20:39:00+00:00,go_bathroom_sink,0,complete,95,process_case
96,wash_hands,0,2020-03-16 20:39:00+00:00,wash_hands,0,start,96,process_case
97,wash_hands,0,2020-03-16 20:39:00+00:00,wash_hands,0,complete,97,process_case
98,go_fridge,0,2020-03-16 20:39:00+00:00,go_fridge,0,complete,98,process_case
99,go_fridge,0,2020-03-16 20:40:00+00:00,go_fridge,0,complete,99,process_case
100,get_food_from_fridge,0,2020-03-16 20:40:00+00:00,get_food_from_fridge,0,start,100,process_case
101,noise 20,0,2020-03-16 20:40:00+00:00,noise 20,0,complete,101,process_case
102,get_food_from_fridge,0,2020-03-16 20:41:00+00:00,get_food_from_fridge,0,complete,102,process_case
103,go_kitchen_shelf,0,2020-03-16 20:41:00+00:00,go_kitchen_shelf,0,complete,103,process_case
104,get_bread,0,2020-03-16 20:41:00+00:00,get_bread,0,start,104,process_case
105,noise 20,0,2020-03-16 20:41:00+00:00,noise 20,0,complete,105,process_case
106,get_bread,0,2020-03-16 20:42:00+00:00,get_bread,0,complete,106,process_case
107,go_dining_table,0,2020-03-16 20:42:00+00:00,go_dining_table,0,complete,107,process_case
108,eat_cold_meal,0,2020-03-16 20:42:00+00:00,eat_cold_meal,0,start,108,process_case
109,noise 10,0,2020-03-16 20:42:00+00:00,noise 10,0,complete,109,process_case
110,go_kitchen_shelf,0,2020-03-16 21:30:00+00:00,go_kitchen_shelf,0,complete,110,process_case
111,get_glass,0,2020-03-16 21:30:00+00:00,get_glass,0,start,111,process_case
112,noise 20,0,2020-03-16 21:30:00+00:00,noise 20,0,complete,112,process_case
113,get_glass,0,2020-03-16 21:30:00+00:00,get_glass,0,complete,113,process_case
114,go_kitchen_sink,0,2020-03-16 21:30:00+00:00,go_kitchen_sink,0,complete,114,process_case
115,get_water,0,2020-03-16 21:30:00+00:00,get_water,0,start,115,process_case
116,noise 20,0,2020-03-16 21:30:00+00:00,noise 20,0,complete,116,process_case
117,get_water,0,2020-03-16 21:30:00+00:00,get_water,0,complete,117,process_case
118,drink_water,0,2020-03-16 21:30:00+00:00,drink_water,0,start,118,process_case
119,noise 10,0,2020-03-16 21:30:00+00:00,noise 10,0,complete,119,process_case
120,drink_water,0,2020-03-16 21:34:00+00:00,drink_water,0,complete,120,process_case
121,go_dining_table,0,2020-03-16 21:34:00+00:00,go_dining_table,0,complete,121,process_case
122,noise 10,0,2020-03-16 21:34:00+00:00,noise 10,0,complete,122,process_case
123,eat_cold_meal,0,2020-03-16 21:59:00+00:00,eat_cold_meal,0,complete,123,process_case
124,go_kitchen_sink,0,2020-03-16 21:59:00+00:00,go_kitchen_sink,0,complete,124,process_case
125,put_plate_to_sink,0,2020-03-16 21:59:00+00:00,put_plate_to_sink,0,start,125,process_case
126,noise 20,0,2020-03-16 21:59:00+00:00,noise 20,0,complete,126,process_case
127,put_plate_to_sink,0,2020-03-16 21:59:00+00:00,put_plate_to_sink,0,complete,127,process_case
128,go_book_shelf,0,2020-03-16 21:59:00+00:00,go_book_shelf,0,complete,128,process_case
129,go_book_shelf,0,2020-03-16 22:00:00+00:00,go_book_shelf,0,complete,129,process_case
130,noise 30,0,2020-03-16 22:00:00+00:00,noise 30,0,complete,130,process_case
131,clean,0,2020-03-16 22:13:00+00:00,clean,0,complete,131,process_case
132,go_wardrobe,0,2020-03-16 22:13:00+00:00,go_wardrobe,0,complete,132,process_case
133,go_wardrobe,0,2020-03-16 22:14:00+00:00,go_wardrobe,0,complete,133,process_case
134,clean,0,2020-03-16 22:14:00+00:00,clean,0,start,134,process_case
135,noise 30,0,2020-03-16 22:14:00+00:00,noise 30,0,complete,135,process_case
136,go_wc,0,2020-03-16 22:28:00+00:00,go_wc,0,complete,136,process_case
137,wc_do,0,2020-03-16 22:28:00+00:00,wc_do,0,start,137,process_case
138,noise 10,0,2020-03-16 22:28:00+00:00,noise 10,0,complete,138,process_case
139,wc_do,0,2020-03-16 22:32:00+00:00,wc_do,0,complete,139,process_case
140,wc_flush,0,2020-03-16 22:32:00+00:00,wc_flush,0,start,140,process_case
141,noise 20,0,2020-03-16 22:32:00+00:00,noise 20,0,complete,141,process_case
142,wc_flush,0,2020-03-16 22:32:00+00:00,wc_flush,0,complete,142,process_case
143,go_bathroom_sink,0,2020-03-16 22:32:00+00:00,go_bathroom_sink,0,complete,143,process_case
144,wash_hands,0,2020-03-16 22:32:00+00:00,wash_hands,0,start,144,process_case
145,wash_hands,0,2020-03-16 22:32:00+00:00,wash_hands,0,complete,145,process_case
146,go_kitchen_shelf,0,2020-03-16 22:32:00+00:00,go_kitchen_shelf,0,complete,146,process_case
147,go_kitchen_shelf,0,2020-03-16 22:33:00+00:00,go_kitchen_shelf,0,complete,147,process_case
148,get_glass,0,2020-03-16 22:33:00+00:00,get_glass,0,start,148,process_case
149,noise 20,0,2020-03-16 22:33:00+00:00,noise 20,0,complete,149,process_case
150,get_glass,0,2020-03-16 22:33:00+00:00,get_glass,0,complete,150,process_case
151,go_kitchen_sink,0,2020-03-16 22:33:00+00:00,go_kitchen_sink,0,complete,151,process_case
152,get_water,0,2020-03-16 22:33:00+00:00,get_water,0,start,152,process_case
153,noise 20,0,2020-03-16 22:33:00+00:00,noise 20,0,complete,153,process_case
154,get_water,0,2020-03-16 22:33:00+00:00,get_water,0,complete,154,process_case
155,drink_water,0,2020-03-16 22:33:00+00:00,drink_water,0,start,155,process_case
156,noise 10,0,2020-03-16 22:33:00+00:00,noise 10,0,complete,156,process_case
157,drink_water,0,2020-03-16 22:34:00+00:00,drink_water,0,complete,157,process_case
158,go_wardrobe,0,2020-03-16 22:34:00+00:00,go_wardrobe,0,complete,158,process_case
159,go_wardrobe,0,2020-03-16 22:35:00+00:00,go_wardrobe,0,complete,159,process_case
160,noise 30,0,2020-03-16 22:35:00+00:00,noise 30,0,complete,160,process_case
161,clean,0,2020-03-16 22:42:00+00:00,clean,0,complete,161,process_case
162,go_chair,0,2020-03-16 22:42:00+00:00,go_chair,0,complete,162,process_case
163,rest_in_chair,0,2020-03-16 22:42:00+00:00,rest_in_chair,0,start,163,process_case
164,noise 5,0,2020-03-16 22:42:00+00:00,noise 5,0,complete,164,process_case
165,rest_in_chair,0,2020-03-16 23:05:00+00:00,rest_in_chair,0,complete,165,process_case
166,go_chair,0,2020-03-16 23:05:00+00:00,go_chair,0,complete,166,process_case
167,rest_in_chair,0,2020-03-16 23:05:00+00:00,rest_in_chair,0,start,167,process_case
168,rest_in_chair,0,2020-03-16 23:28:00+00:00,rest_in_chair,0,complete,168,process_case
169,go_chair,0,2020-03-16 23:28:00+00:00,go_chair,0,complete,169,process_case
170,rest_in_chair,0,2020-03-16 23:28:00+00:00,rest_in_chair,0,start,170,process_case
171,rest_in_chair,0,2020-03-16 23:50:00+00:00,rest_in_chair,0,complete,171,process_case
172,go_wardrobe,0,2020-03-16 23:50:00+00:00,go_wardrobe,0,complete,172,process_case
173,go_wardrobe,0,2020-03-16 23:51:00+00:00,go_wardrobe,0,complete,173,process_case
174,get_clothes,0,2020-03-16 23:51:00+00:00,get_clothes,0,start,174,process_case
175,noise 20,0,2020-03-16 23:51:00+00:00,noise 20,0,complete,175,process_case
176,get_clothes,0,2020-03-16 23:52:00+00:00,get_clothes,0,complete,176,process_case
177,change_clothes,0,2020-03-16 23:52:00+00:00,change_clothes,0,start,177,process_case
178,change_clothes,0,2020-03-16 23:55:00+00:00,change_clothes,0,complete,178,process_case
179,go_bathtub,0,2020-03-16 23:55:00+00:00,go_bathtub,0,complete,179,process_case
180,go_bathtub,0,2020-03-16 23:56:00+00:00,go_bathtub,0,complete,180,process_case
181,have_bath,0,2020-03-16 23:56:00+00:00,have_bath,0,start,181,process_case
182,noise 40,0,2020-03-16 23:56:00+00:00,noise 40,0,complete,182,process_case
183,have_bath,0,2020-03-17 00:22:00+00:00,have_bath,0,complete,183,process_case
184,go_bathroom_sink,0,2020-03-17 00:22:00+00:00,go_bathroom_sink,0,complete,184,process_case
185,brush_teeth,0,2020-03-17 00:22:00+00:00,brush_teeth,0,start,185,process_case
186,noise 20,0,2020-03-17 00:22:00+00:00,noise 20,0,complete,186,process_case
187,brush_teeth,0,2020-03-17 00:28:00+00:00,brush_teeth,0,complete,187,process_case
188,go_bed,0,2020-03-17 00:28:00+00:00,go_bed,0,complete,188,process_case
189,sleep_in_bed,0,2020-03-17 00:28:00+00:00,sleep_in_bed,0,start,189,process_case
190,noise 2,0,2020-03-17 00:28:00+00:00,noise 2,0,complete,190,process_case
191,go_wc,0,2020-03-17 04:03:00+00:00,go_wc,0,complete,191,process_case
192,wc_do,0,2020-03-17 04:03:00+00:00,wc_do,0,start,192,process_case
193,noise 10,0,2020-03-17 04:03:00+00:00,noise 10,0,complete,193,process_case
194,wc_do,0,2020-03-17 04:11:00+00:00,wc_do,0,complete,194,process_case
195,wc_flush,0,2020-03-17 04:11:00+00:00,wc_flush,0,start,195,process_case
196,noise 20,0,2020-03-17 04:11:00+00:00,noise 20,0,complete,196,process_case
197,wc_flush,0,2020-03-17 04:11:00+00:00,wc_flush,0,complete,197,process_case
198,go_bathroom_sink,0,2020-03-17 04:11:00+00:00,go_bathroom_sink,0,complete,198,process_case
199,wash_hands,0,2020-03-17 04:11:00+00:00,wash_hands,0,start,199,process_case
200,wash_hands,0,2020-03-17 04:11:00+00:00,wash_hands,0,complete,200,process_case
201,go_bed,0,2020-03-17 04:11:00+00:00,go_bed,0,complete,201,process_case
202,go_bed,0,2020-03-17 04:12:00+00:00,go_bed,0,complete,202,process_case
203,noise 2,0,2020-03-17 04:12:00+00:00,noise 2,0,complete,203,process_case
204,go_wardrobe,0,2020-03-17 08:17:00+00:00,go_wardrobe,0,complete,204,process_case
205,change_clothes,0,2020-03-17 08:17:00+00:00,change_clothes,0,start,205,process_case
206,noise 20,0,2020-03-17 08:17:00+00:00,noise 20,0,complete,206,process_case
207,change_clothes,0,2020-03-17 08:21:00+00:00,change_clothes,0,complete,207,process_case
208,go_shoe_shelf,0,2020-03-17 08:21:00+00:00,go_shoe_shelf,0,complete,208,process_case
209,dress_up_outdoor,0,2020-03-17 08:21:00+00:00,dress_up_outdoor,0,start,209,process_case
210,noise 20,0,2020-03-17 08:21:00+00:00,noise 20,0,complete,210,process_case
211,dress_up_outdoor,0,2020-03-17 08:26:00+00:00,dress_up_outdoor,0,complete,211,process_case
212,go_workplace,0,2020-03-17 08:26:00+00:00,go_workplace,0,complete,212,process_case
213,go_workplace,0,2020-03-17 08:27:00+00:00,go_workplace,0,complete,213,process_case
214,work,0,2020-03-17 08:27:00+00:00,work,0,start,214,process_case
215,noise 20,0,2020-03-17 08:27:00+00:00,noise 20,0,complete,215,process_case
216,work,0,2020-03-17 18:28:00+00:00,work,0,complete,216,process_case
217,go_shoe_shelf,0,2020-03-17 18:28:00+00:00,go_shoe_shelf,0,complete,217,process_case
218,dress_down_outdoor,0,2020-03-17 18:28:00+00:00,dress_down_outdoor,0,start,218,process_case
219,noise 20,0,2020-03-17 18:28:00+00:00,noise 20,0,complete,219,process_case
220,dress_down_outdoor,0,2020-03-17 18:34:00+00:00,dress_down_outdoor,0,complete,220,process_case
221,go_wardrobe,0,2020-03-17 18:34:00+00:00,go_wardrobe,0,complete,221,process_case
222,change_clothes,0,2020-03-17 18:34:00+00:00,change_clothes,0,start,222,process_case
223,noise 20,0,2020-03-17 18:34:00+00:00,noise 20,0,complete,223,process_case
224,change_clothes,0,2020-03-17 18:39:00+00:00,change_clothes,0,complete,224,process_case
225,finish_walk,0,2020-03-17 18:39:00+00:00,finish_walk,0,start,225,process_case
226,noise 10,0,2020-03-17 18:39:00+00:00,noise 10,0,complete,226,process_case
227,finish_walk,0,2020-03-17 18:39:00+00:00,finish_walk,0,complete,227,process_case
228,go_kitchen_shelf,0,2020-03-17 18:39:00+00:00,go_kitchen_shelf,0,complete,228,process_case
229,get_glass,0,2020-03-17 18:39:00+00:00,get_glass,0,start,229,process_case
230,noise 20,0,2020-03-17 18:39:00+00:00,noise 20,0,complete,230,process_case
231,get_glass,0,2020-03-17 18:39:00+00:00,get_glass,0,complete,231,process_case
232,go_kitchen_sink,0,2020-03-17 18:39:00+00:00,go_kitchen_sink,0,complete,232,process_case
233,get_water,0,2020-03-17 18:39:00+00:00,get_water,0,start,233,process_case
234,noise 20,0,2020-03-17 18:39:00+00:00,noise 20,0,complete,234,process_case
235,get_water,0,2020-03-17 18:39:00+00:00,get_water,0,complete,235,process_case
236,drink_water,0,2020-03-17 18:39:00+00:00,drink_water,0,start,236,process_case
237,noise 10,0,2020-03-17 18:39:00+00:00,noise 10,0,complete,237,process_case
238,drink_water,0,2020-03-17 18:52:00+00:00,drink_water,0,complete,238,process_case
239,go_computer,0,2020-03-17 18:52:00+00:00,go_computer,0,complete,239,process_case
240,switch_computer_on,0,2020-03-17 18:52:00+00:00,switch_computer_on,0,start,240,process_case
241,noise 20,0,2020-03-17 18:52:00+00:00,noise 20,0,complete,241,process_case
242,switch_computer_on,0,2020-03-17 18:52:00+00:00,switch_computer_on,0,complete,242,process_case
243,go_computer_chair,0,2020-03-17 18:52:00+00:00,go_computer_chair,0,complete,243,process_case
244,use_the_computer,0,2020-03-17 18:52:00+00:00,use_the_computer,0,start,244,process_case
245,noise 5,0,2020-03-17 18:52:00+00:00,noise 5,0,complete,245,process_case
246,use_the_computer,0,2020-03-17 20:50:00+00:00,use_the_computer,0,complete,246,process_case
247,go_computer,0,2020-03-17 20:50:00+00:00,go_computer,0,complete,247,process_case
248,switch_computer_off,0,2020-03-17 20:50:00+00:00,switch_computer_off,0,start,248,process_case
249,noise 20,0,2020-03-17 20:50:00+00:00,noise 20,0,complete,249,process_case
250,switch_computer_off,0,2020-03-17 20:50:00+00:00,switch_computer_off,0,complete,250,process_case
251,go_bathroom_sink,0,2020-03-17 20:50:00+00:00,go_bathroom_sink,0,complete,251,process_case
252,wash_hands,0,2020-03-17 20:50:00+00:00,wash_hands,0,start,252,process_case
253,wash_hands,0,2020-03-17 20:50:00+00:00,wash_hands,0,complete,253,process_case
254,go_fridge,0,2020-03-17 20:50:00+00:00,go_fridge,0,complete,254,process_case
255,go_fridge,0,2020-03-17 20:51:00+00:00,go_fridge,0,complete,255,process_case
256,get_food_from_fridge,0,2020-03-17 20:51:00+00:00,get_food_from_fridge,0,start,256,process_case
257,noise 20,0,2020-03-17 20:51:00+00:00,noise 20,0,complete,257,process_case
258,get_food_from_fridge,0,2020-03-17 20:52:00+00:00,get_food_from_fridge,0,complete,258,process_case
259,go_kitchen_shelf,0,2020-03-17 20:52:00+00:00,go_kitchen_shelf,0,complete,259,process_case
260,get_bread,0,2020-03-17 20:52:00+00:00,get_bread,0,start,260,process_case
261,noise 20,0,2020-03-17 20:52:00+00:00,noise 20,0,complete,261,process_case
262,get_bread,0,2020-03-17 20:53:00+00:00,get_bread,0,complete,262,process_case
263,go_dining_table,0,2020-03-17 20:53:00+00:00,go_dining_table,0,complete,263,process_case
264,eat_cold_meal,0,2020-03-17 20:53:00+00:00,eat_cold_meal,0,start,264,process_case
265,noise 10,0,2020-03-17 20:53:00+00:00,noise 10,0,complete,265,process_case
266,go_kitchen_shelf,0,2020-03-17 21:45:00+00:00,go_kitchen_shelf,0,complete,266,process_case
267,get_glass,0,2020-03-17 21:45:00+00:00,get_glass,0,start,267,process_case
268,noise 20,0,2020-03-17 21:45:00+00:00,noise 20,0,complete,268,process_case
269,get_glass,0,2020-03-17 21:45:00+00:00,get_glass,0,complete,269,process_case
270,go_kitchen_sink,0,2020-03-17 21:45:00+00:00,go_kitchen_sink,0,complete,270,process_case
271,get_water,0,2020-03-17 21:45:00+00:00,get_water,0,start,271,process_case
272,noise 20,0,2020-03-17 21:45:00+00:00,noise 20,0,complete,272,process_case
273,get_water,0,2020-03-17 21:45:00+00:00,get_water,0,complete,273,process_case
274,drink_water,0,2020-03-17 21:45:00+00:00,drink_water,0,start,274,process_case
275,noise 10,0,2020-03-17 21:45:00+00:00,noise 10,0,complete,275,process_case
276,drink_water,0,2020-03-17 21:49:00+00:00,drink_water,0,complete,276,process_case
277,go_dining_table,0,2020-03-17 21:49:00+00:00,go_dining_table,0,complete,277,process_case
278,noise 10,0,2020-03-17 21:49:00+00:00,noise 10,0,complete,278,process_case
279,go_bed,0,2020-03-17 22:18:00+00:00,go_bed,0,complete,279,process_case
280,noise 2,0,2020-03-17 22:18:00+00:00,noise 2,0,complete,280,process_case
281,go_wc,0,2020-03-18 01:08:00+00:00,go_wc,0,complete,281,process_case
282,wc_do,0,2020-03-18 01:08:00+00:00,wc_do,0,start,282,process_case
283,noise 10,0,2020-03-18 01:08:00+00:00,noise 10,0,complete,283,process_case
284,wc_do,0,2020-03-18 01:17:00+00:00,wc_do,0,complete,284,process_case
285,wc_flush,0,2020-03-18 01:17:00+00:00,wc_flush,0,start,285,process_case
286,noise 20,0,2020-03-18 01:17:00+00:00,noise 20,0,complete,286,process_case
287,wc_flush,0,2020-03-18 01:17:00+00:00,wc_flush,0,complete,287,process_case
288,go_bathroom_sink,0,2020-03-18 01:17:00+00:00,go_bathroom_sink,0,complete,288,process_case
289,wash_hands,0,2020-03-18 01:17:00+00:00,wash_hands,0,start,289,process_case
290,wash_hands,0,2020-03-18 01:17:00+00:00,wash_hands,0,complete,290,process_case
291,go_entrace,0,2020-03-18 01:17:00+00:00,go_entrace,0,complete,291,process_case
292,go_entrace,0,2020-03-18 01:18:00+00:00,go_entrace,0,complete,292,process_case
293,interact_with_man,0,2020-03-18 01:18:00+00:00,interact_with_man,0,start,293,process_case
294,noise 20,0,2020-03-18 01:18:00+00:00,noise 20,0,complete,294,process_case
295,interact_with_man,0,2020-03-18 01:21:00+00:00,interact_with_man,0,complete,295,process_case
296,go_bed,0,2020-03-18 01:21:00+00:00,go_bed,0,complete,296,process_case
297,go_bed,0,2020-03-18 01:22:00+00:00,go_bed,0,complete,297,process_case
298,noise 2,0,2020-03-18 01:22:00+00:00,noise 2,0,complete,298,process_case
299,sleep_in_bed,0,2020-03-18 02:16:00+00:00,sleep_in_bed,0,complete,299,process_case
300,go_wardrobe,0,2020-03-18 02:16:00+00:00,go_wardrobe,0,complete,300,process_case
301,go_wardrobe,0,2020-03-18 02:17:00+00:00,go_wardrobe,0,complete,301,process_case
302,change_clothes,0,2020-03-18 02:17:00+00:00,change_clothes,0,start,302,process_case
303,noise 20,0,2020-03-18 02:17:00+00:00,noise 20,0,complete,303,process_case
304,change_clothes,0,2020-03-18 02:21:00+00:00,change_clothes,0,complete,304,process_case
305,go_dining_table,0,2020-03-18 02:21:00+00:00,go_dining_table,0,complete,305,process_case
306,noise 10,0,2020-03-18 02:21:00+00:00,noise 10,0,complete,306,process_case
307,eat_cold_meal,0,2020-03-18 02:27:00+00:00,eat_cold_meal,0,complete,307,process_case
308,go_kitchen_sink,0,2020-03-18 02:27:00+00:00,go_kitchen_sink,0,complete,308,process_case
309,put_plate_to_sink,0,2020-03-18 02:27:00+00:00,put_plate_to_sink,0,start,309,process_case
310,noise 20,0,2020-03-18 02:27:00+00:00,noise 20,0,complete,310,process_case
311,put_plate_to_sink,0,2020-03-18 02:27:00+00:00,put_plate_to_sink,0,complete,311,process_case
